"outcome.correct.ans.per.second","outcome.num.correct.ans","outcome.response.time","treatment","live.paycheck.by.paycheck","caloric.crunch","liquidity.constrained","financial.hardship","current.income","pay.day.amount.fraction.of.income","age","male","married","divorced","widowed","white","black","hispanic","working","unemployed","disabled","retired","household.size","household.head","children.in.household","metropolitan.area","household.income","education"
0.54723305527322,48,87.7139996158214,1,1,0,1,1,2012,0.5,56,0,0,0,1,1,0,0,1,0,0,0,2,1,0,1,40000,2
0.529197911222641,46,86.9240014453632,1,1,0,0,0,2684,0.5,40,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,40000,4
0.476322796521357,48,100.771998213291,0,0,0,0,0,6844,1,61,1,0,1,0,1,0,0,1,0,0,0,1,1,0,1,40000,4
0.324524031012634,39,120.176000151069,1,0,0,0,0,1800,1,56,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,40000,3
0.482154803865635,44,91.2569980579551,0,0,0,0,0,3500,1,45,1,1,0,0,1,0,0,1,0,0,0,4,1,1,0,35000,4
0.392736093368234,46,117.126998961284,0,0,0,1,1,649,1,57,0,1,0,0,1,0,0,0,1,0,0,4,1,0,1,20000,2
0.524006032735775,48,91.601998834627,1,0,0,0,0,1400,1,80,1,1,0,0,1,0,0,0,0,0,1,2,1,0,0,25000,3
0.49986979396282,48,96.0250060710213,0,1,1,1,1,1410,0.11,52,0,0,1,0,1,0,0,0,0,1,0,3,1,0,1,25000,4
0.403799234055063,46,113.917997164223,1,1,1,1,1,2500,1,51,1,1,0,0,0,0,1,0,0,1,0,2,0,0,1,20000,2
0.426938915344393,47,110.086006008815,1,0,0,0,0,1800,1,69,0,1,0,0,1,0,0,0,0,0,1,2,1,0,1,35000,2
0.568814750105243,48,84.3859973587516,0,1,1,1,0,300,1,55,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,20000,2
0.679190729091242,47,69.2000022775429,1,1,0,0,1,2400,0.5,26,0,1,0,0,1,0,0,1,0,0,0,4,0,1,0,25000,3
0.500761580425598,48,95.8539989413819,0,1,1,1,1,1765,0.41,68,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,25000,2
0.592175881285356,48,81.0569993087407,0,0,0,0,0,2100,0.62,79,0,1,0,0,1,0,0,0,0,0,1,2,0,0,1,25000,3
0.500876532606905,48,95.8320002539848,0,0,1,1,1,1150,1,55,1,0,1,0,1,0,0,1,0,0,0,1,1,0,1,20000,3
0.354433993406091,45,126.962991240068,0,0,0,0,0,1200,1,71,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,15000,2
0.491113906704748,48,97.7370002044293,0,1,1,0,1,1100,0.5,58,1,1,0,0,1,0,0,1,0,0,0,3,0,0,1,15000,4
0.533721469108406,44,82.4400039097228,1,1,0,0,0,2160,0.12,70,0,1,0,0,1,0,0,0,0,0,1,2,1,0,0,25000,2
0.607846465195854,46,75.6770050232642,0,0,0,0,0,2000,1,27,0,1,0,0,0,0,1,1,0,0,0,2,1,0,1,25000,2
0.41618978159783,44,105.721000239544,0,0,0,0,0,12000,1,77,1,1,0,0,1,0,0,0,0,0,1,2,1,0,0,25000,1
0.493370325832758,48,97.2900020263298,0,0,0,1,0,90,0.5,29,0,0,1,0,0,0,0,1,0,0,0,4,0,1,1,5000,3
0.458968262385249,45,98.0459950893682,0,1,1,0,0,3200,0.5,25,0,1,0,0,1,0,0,1,0,0,0,4,1,1,1,40000,3
0.543409133419438,47,86.4910011803617,0,1,1,1,1,506,1,30,0,0,0,0,1,0,0,0,0,1,0,3,1,1,1,15000,3
0.66045555929709,47,71.1630015651942,1,0,0,0,0,1682,0.5,32,0,1,0,0,0,0,0,1,0,0,0,2,1,0,1,40000,4
0.527762508529534,48,90.949999714339,0,0,0,0,0,2100,1,31,0,1,0,0,1,0,0,0,0,0,0,3,1,1,1,30000,4
0.750903433389878,48,63.9229997701687,1,0,0,0,0,1800,0.5,28,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,30000,4
0.477037153614677,44,92.236002304216,0,1,1,1,1,40,0.5,38,0,0,0,0,0,1,0,0,0,1,0,3,1,0,1,5000,4
0.661245404283163,47,71.0779987211425,0,0,0,0,1,1600,0.5,30,1,1,0,0,0,0,0,0,0,0,0,5,1,1,0,20000,2
0.485048121001961,43,88.6509979900038,1,1,1,1,1,259,1,47,0,1,0,0,1,0,0,0,0,1,0,4,1,1,0,35000,3
0.484506331989682,46,94.9419996454857,1,0,0,1,1,850,0.5,30,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,35000,2
0.480675801397329,47,97.7790016958844,0,0,1,1,0,2000,0.5,52,0,0,1,0,1,0,0,1,0,0,0,2,1,0,1,30000,4
0.680532492349991,48,70.533002523139,0,0,0,0,0,2400,0.5,31,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,30000,4
0.0652625917323439,7,107.258994995303,1,0,0,0,1,1690,0.5,32,0,0,0,0,1,0,0,1,0,0,0,2,1,0,0,35000,1
0.0675547893586791,5,74.0139973415168,1,1,1,1,1,2,1,31,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,10000,4
0.57004937683884,47,82.4489981212407,0,0,0,0,0,1320,0.5,30,0,0,0,0,0,0,1,1,0,0,0,4,1,1,1,25000,3
0.435576391465857,47,107.90300145017,0,1,1,1,1,1052,1,51,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,35000,3
0.489787430011068,47,95.9599963578851,1,1,1,1,0,721,1,57,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,15000,2
0.400257537472162,46,114.926005617569,1,1,1,0,1,1115,1,72,0,0,0,1,1,0,0,0,0,1,0,2,1,0,1,10000,2
0.505153637543161,47,93.0410008103411,0,1,1,1,1,850,1,58,0,0,0,1,1,0,0,1,0,0,0,3,0,0,1,15000,2
0.582403968607033,47,80.6999995422634,0,0,0,0,0,2596,1,59,1,1,0,0,1,0,0,0,0,0,1,2,1,0,1,35000,4
0.31816013809433,42,132.008994752031,0,1,0,1,0,878,1,48,0,1,0,0,0,0,1,0,1,0,0,2,1,0,1,5000,3
0.4293957338524,48,111.784995089167,1,0,0,1,0,2000,1,67,0,1,0,0,0,0,0,0,0,0,1,3,0,0,1,25000,4
0.276847815565508,43,155.3199901981,0,0,0,0,0,1300,1,93,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,25000,3
0.40324666180287,39,96.7149977773788,1,1,1,1,1,2000,0.6,48,0,1,0,0,0,0,1,0,0,0,0,9,1,1,1,10000,3
0.616024320014445,48,77.9190016375887,1,0,0,0,0,1000,0.5,43,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,20000,4
0.418273069349185,46,109.976002212081,1,0,1,1,1,500,1,61,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,25000,3
0.578133443187277,44,76.1069966086479,1,0,0,0,0,2100,0.5,40,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,40000,3
0.346904926276949,41,118.188001652268,0,0,0,0,0,1600,0.5,64,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,40000,3
0.536851917583919,45,83.8219973256698,0,0,1,1,0,800,0.5,34,0,1,0,0,0,1,0,1,0,0,0,5,0,1,1,15000,1
0.648377034557729,48,74.0309996216041,0,1,1,1,1,2200,0.55,38,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,20000,3
0.457047098358726,48,105.021999203955,1,1,1,1,0,1040,1,66,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,15000,3
0.585301647698691,48,82.008995171512,1,0,0,0,0,2232,0.28,62,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,30000,3
0.422282108223743,47,111.300003208039,1,0,0,1,0,4500,0.5,34,0,1,0,0,1,0,0,0,1,0,0,2,1,0,1,40000,4
0.679415131061285,48,70.6490005970595,1,0,0,0,1,250,1,31,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,5000,4
0.546472980432488,48,87.8359987020987,1,1,1,1,1,1117,1,55,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,20000,3
0.51049346208774,45,88.1500025797896,0,1,1,1,1,721,1,43,0,1,0,0,1,0,0,0,0,1,0,4,0,1,0,10000,3
0.409040748281565,43,105.124000923255,0,0,0,0,0,2965,0.1,72,0,1,0,0,1,0,0,0,0,0,1,2,1,0,0,35000,3
0.559564467605955,48,85.7810007225147,1,1,1,1,1,953,1,46,0,0,1,0,0,1,0,0,0,1,0,3,1,0,1,15000,3
